2026-05-25 10:51:54.595 | N/A | app.license | DEBUG | License valid — 90 days remaining (expires: 2026-08-23T23:59:59)
2026-05-25 10:51:54.599 | N/A | app.main | INFO | License validation enabled — License valid.
2026-05-25 10:51:54.600 | N/A | app.main | INFO | Templates path: C:\Users\shubh\Desktop\Mohap\ai-proc-agent-whatsapp\templates , 
2026-05-25 10:51:54.629 | N/A | app.main | INFO | Starting AI Procurement Agent application
2026-05-25 10:51:54.916 | N/A | app.database | INFO | Database engine initialized successfully
2026-05-25 10:51:54.917 | N/A | app.database | INFO | [DB-POOL] after init_database engine creation | Type: QueuePool | InUse: 0 | InPool: 1 | PoolSize: 10 | Overflow: -9 | Available: 10 | Status: ✓ OK
2026-05-25 10:51:55.113 | N/A | app.database | INFO | [DB-POOL] after init_database completion | Type: QueuePool | InUse: 0 | InPool: 1 | PoolSize: 10 | Overflow: -9 | Available: 10 | Status: ✓ OK
2026-05-25 10:51:55.114 | N/A | app.main | INFO | Database initialized successfully
2026-05-25 10:51:55.117 | N/A | app.procucev_apis.procucev_api_client | INFO | Global ProcucevAPIClient initialized
2026-05-25 10:51:55.118 | N/A | app.main | INFO | ProcucevAPIClient initialized successfully
2026-05-25 10:51:55.120 | N/A | app.main | INFO | Message queue batch poller started
2026-05-25 10:51:55.122 | N/A | app.main | INFO | Message queue monitoring loop started
2026-05-25 10:51:55.127 | N/A | app.main | INFO | Webhook health monitoring started
2026-05-25 10:51:55.132 | N/A | app.services.message_queue_service | DEBUG | [POLLER] Batch poller started
2026-05-25 10:51:55.134 | N/A | app.services.message_queue_service | DEBUG | [MONITOR] Monitoring loop started
2026-05-25 10:51:55.153 | N/A | app.services.inactivity_timeout_service | DEBUG | [TIMEOUT_SERVICE] Monitoring started on this worker
2026-05-25 10:51:55.156 | N/A | app.main | INFO | Inactivity timeout monitoring started on this worker
2026-05-25 10:51:55.158 | N/A | app.main | INFO | AutoCategorizationService will lazy-load on first use
2026-05-25 10:51:55.160 | N/A | app.services.inactivity_timeout_service | DEBUG | [TIMEOUT_SERVICE] Monitor loop started
2026-05-25 10:51:55.257 | N/A | app.main | INFO | Shutting down AI Procurement Agent application
2026-05-25 10:51:55.259 | N/A | app.procucev_apis.procucev_api_client | INFO | HTTP session closed
2026-05-25 10:51:55.260 | N/A | app.procucev_apis.procucev_api_client | INFO | Global ProcucevAPIClient closed
2026-05-25 10:51:55.262 | N/A | app.main | INFO | ProcucevAPIClient shut down successfully
2026-05-25 10:51:55.264 | N/A | app.services.message_queue_service | DEBUG | [SHUTDOWN] Cancelling background tasks...
2026-05-25 10:51:55.267 | N/A | app.services.message_queue_service | DEBUG | [SHUTDOWN] MessageQueueService shutdown complete
2026-05-25 10:51:55.268 | N/A | app.main | INFO | Message queue service shut down successfully
2026-05-25 10:51:55.278 | N/A | api_health_monitor | ERROR | API health check: status=CRITICAL, error=Connection error: Connector is closed.
2026-05-25 10:52:00.271 | N/A | app.main | WARNING | Health monitoring shutdown timeout
2026-05-25 10:52:00.275 | N/A | app.main | INFO | Webhook monitor session closed after timeout
2026-05-25 10:52:00.278 | N/A | app.services.inactivity_timeout_service | DEBUG | [TIMEOUT_SERVICE] Monitor loop cancelled
2026-05-25 10:52:00.280 | N/A | app.services.inactivity_timeout_service | DEBUG | [TIMEOUT_SERVICE] Monitoring stopped
2026-05-25 10:52:00.283 | N/A | app.main | INFO | Inactivity timeout monitoring stopped
2026-05-25 10:52:01.405 | N/A | app.services.message_queue_service | DEBUG | [POLLER] Batch poller cancelled
2026-05-25 10:52:01.407 | N/A | app.services.message_queue_service | DEBUG | [MONITOR] Monitoring loop cancelled
2026-05-25 10:52:26.552 | N/A | app.license | DEBUG | License valid — 90 days remaining (expires: 2026-08-23T23:59:59)
2026-05-25 10:52:26.554 | N/A | app.main | INFO | License validation enabled — License valid.
2026-05-25 10:52:26.555 | N/A | app.main | INFO | Templates path: C:\Users\shubh\Desktop\Mohap\ai-proc-agent-whatsapp\templates , 
2026-05-25 10:52:33.741 | N/A | app.license | DEBUG | License valid — 90 days remaining (expires: 2026-08-23T23:59:59)
2026-05-25 10:52:33.743 | N/A | app.main | INFO | License validation enabled — License valid.
